地名,センター,燃やせるごみ,燃やせないごみ,資源物（容器包装プラスチック）,資源物（古紙 古着）,資源物（ペットボトル）,資源物（びん かん 有害物）
本町1丁目・2丁目,秋水園,月 木,金1,火,水2 水4,水1 水3,火
本町3丁目・4丁目,秋水園,月 木,金2,火,水2 水4,水1 水3,火
久米川町1丁目・2丁目・3丁目,秋水園,月 木,金3,火,水2 水4,水1 水3,木
久米川町4丁目・5丁目,秋水園,月 木,金4,火,水2 水4,水1 水3,木
秋津町全域,秋水園,月 木,火2,金,水1 水3,水2 水4,木
青葉町全域,秋水園,火 金,水2,月,木2 木4,水1 水3,火
恩多町1丁目・2丁目,秋水園,月 木,火3,金,水1 水3,水2 水4,金
恩多町3丁目・4丁目・5丁目,秋水園,月 木,火4,金,水1 水3,水2 水4,金
萩山町全域,秋水園,火 金,水4,月,木2 木4,水1 水3,金
栄町全域,秋水園,月 木,金4,火,水2 水4,水1 水3,月
富士見町全域,秋水園,火 金,水1,木,月1 月3,水2 水4,水
美住町全域,秋水園,月 木,火1,金,水1 水3,水2 水4,水
廻田町全域,秋水園,火 金,水1,木,月1 月3,水2 水4,月
多摩湖町全域,秋水園,火 金,水4,月,木2 木4,水1 水3,火
諏訪町全域,秋水園,火 金,水3,木,月1 月3,水2 水4,木
野口町全域,秋水園,火 金,水3,木,月1 月3,水2 水4,月
